MM-VEDAC-00007-00 | ANEL ELASTICO EXTERNO | Outros / Reposição | VEDAC | | 13 X 1MM | 166
MM-VEDAC-00032-00 | ANEL ELASTICO EXTERNO | Outros / Reposição | VEDAC | | 9 X 1MM | 166
MM-VEDAC-00034-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 110 X 4MM | 171
MM-VEDAC-00035-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 12 X 1MM | 166
MM-VEDAC-00036-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 16 X 1MM | 167
MM-VEDAC-00037-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 17 X 1MM | 167
MM-VEDAC-00038-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 20 X 1,20MM | 167
MM-VEDAC-00039-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 25 X 1,20MM | 167
MM-VEDAC-00040-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 30 X 1,50MM | 167
MM-VEDAC-00041-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 35 X 1,50MM | 168
MM-VEDAC-00042-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 40 X 1,75MM | 168
MM-VEDAC-00043-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 45 X 1,75MM | 168
MM-VEDAC-00044-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 50 X 2MM | 168
MM-VEDAC-00045-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 55 X 2MM | 168
MM-VEDAC-00046-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 60 X 2MM | 169
MM-VEDAC-00047-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 65 X 2,50MM | 169
MM-VEDAC-00048-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 70 X 2,50MM | 169
MM-VEDAC-00049-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 75 X 2,50MM | 169
MM-VEDAC-00050-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 80 X 2,50MM | 169
MM-VEDAC-00051-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 85 X 3MM | 169
MM-VEDAC-00052-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 90 X 3MM | 170
MM-VEDAC-00053-00 | ANEL ELASTICO EXTERNO INOX | Outros / Reposição | VEDAC | | 95 X 3MM | 170
MM-VEDAC-00001-00 | ANEL ELASTICO INTERNO | Outros / Reposição | VEDAC | | 13 X 1MM | 166
MM-CPMEC-00002-00 | BLOC RETIFICADO MAT ST 52-3 COD 003362145 | Outros / Reposição | CPMEC | WINDMOLLER | ST 52-3 | 156
MM-CPMEC-00003-00 | BLOC RETIFICADO MAT ST 52-3 COD 003362146 | Outros / Reposição | CPMEC | WINDMOLLER | ST 52-3 | 156
MM-CPMEC-00004-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370311 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 155
MM-CPMEC-00005-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370312 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 155
MM-CPMEC-00006-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370314 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 155
MM-CPMEC-00007-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370315 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 155
MM-CPMEC-00008-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370316 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 155
MM-CPMEC-00009-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370317 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 155
MM-CPMEC-00010-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370320 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 155
MM-CPMEC-00011-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370321 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 155
MM-CPMEC-00012-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370323 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 155
MM-CPMEC-00013-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370325 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00014-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370331 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00015-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370332 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00016-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370333 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00017-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370334 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00018-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370335 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00019-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370337 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00020-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370342 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00021-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370344 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00022-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370345 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00023-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370348 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00024-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370349 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00025-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370350 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00026-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370351 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00027-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370353 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00028-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370354 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00029-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370357 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00030-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370360 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00031-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370362 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00032-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370363 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00033-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370364 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00034-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370365 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00035-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370366 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00036-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370367 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00037-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370369 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00038-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370370 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00039-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370371 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00040-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370372 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00041-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370373 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00042-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370374 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00043-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370375 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00044-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370376 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00045-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370377 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00046-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370381 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00047-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370383 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00048-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370384 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00049-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370385 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00050-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370388 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00051-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370389 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00052-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370390 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00053-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370392 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00054-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370394 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00055-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370397 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00056-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370398 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00057-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370399 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00058-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370400 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00059-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370402 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00060-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370403 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00061-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370404 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00062-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370405 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00063-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370407 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00064-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370408 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00065-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370409 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00066-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370410 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00067-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370411 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00068-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370412 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00069-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370413 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00070-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370415 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00071-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370416 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00072-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370417 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00073-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370418 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00074-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370420 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00075-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370422 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00076-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370423 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00077-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370424 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00078-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370425 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00079-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370426 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00080-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370427 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00081-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370429 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00082-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370430 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00083-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370431 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00084-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370434 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00085-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370435 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00086-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370437 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00087-00 | BUCHA GUIA ACO TEMPERADO - DIN 179 COD 003370438 | Outros / Reposição | CPMEC | WINDMOLLER | DIN 179 | 156
MM-CPMEC-00089-00 | CHAPA DE ACO INOX ESPESSURA 5,0 MM AISI304 | Outros / Reposição | CPMEC | | 5,0 MM AISI304 | 24
MM-REPAR-00268-00 | CORREIA EM V REPOSIÇÃO | Outros / Reposição | REPAR | | 13 X 1195MM | 243
MM-REPAR-00271-00 | CORREIA EM V REPOSIÇÃO | Outros / Reposição | REPAR | | 12,7 X 1600MM | 244
MM-REPAR-00272-00 | CORREIA EM V REPOSIÇÃO | Outros / Reposição | REPAR | | 13 X 1120MM | 243
MM-REPAR-00273-00 | CORREIA EM V REPOSIÇÃO | Outros / Reposição | REPAR | | 13 X 1175MM | 243
MM-REPAR-00274-00 | CORREIA EM V REPOSIÇÃO | Outros / Reposição | REPAR | | 13 X 1250MM | 243
MM-REPAR-00280-00 | CORREIA EM V REPOSIÇÃO | Outros / Reposição | REPAR | | 17 X 1400MM | 246
MM-REPAR-00281-00 | CORREIA EM V REPOSIÇÃO | Outros / Reposição | REPAR | | 21,5 X 2240MM | 247
MM-REPAR-00282-00 | CORREIA EM V REPOSIÇÃO | Outros / Reposição | REPAR | | 21,5 X 2800MM | 247
MM-REPAR-00285-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 8 X 965MM | 244
MM-REPAR-00286-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 9,5 X 1120MM | 244
MM-REPAR-00287-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 9,5 X 1400MM | 244
MM-REPAR-00288-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 9,5 X 1425MM | 244
MM-REPAR-00289-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 9,5 X 670MM | 244
MM-REPAR-00290-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 9,5 X 800MM | 244
MM-REPAR-00291-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 9,5 X 825MM | 244
MM-REPAR-00292-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 9,5 X 850MM | 244
MM-REPAR-00293-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 9,5 X 900MM | 244
MM-REPAR-00294-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 9,5 X 975MM | 244
MM-REPAR-00295-00 | CORREIA INDUSTRIAL REPOSIÇÃO | Outros / Reposição | REPAR | | 9,7 X 1180MM | 244
MM-PNEUM-00249-00 | ENGATE RAPIDO CONECTOR 1/2POL BSP C/TRAVA | Outros / Reposição | PNEUM | | 1/2POL BSP | 218
